--- TEST 3.0: Skalowalność (Czas i Błąd vs Rozmiar) ---
Parametr/Instancja             |    Średni Koszt |   Śr. Czas [ms] |   Błąd PRD
kro124p.atsp (Rozmiar x 100)   |        37468.20 |         1358.90 |      3.42%
ftv170.atsp (Rozmiar x 1)      |         3959.20 |           24.70 |     43.71%
ftv170.atsp (Rozmiar x 10)     |         3414.60 |          251.50 |     23.94%
ftv170.atsp (Rozmiar x 100)    |         3068.10 |         2546.40 |     11.36%
rbg323.atsp (Rozmiar x 1)      |         1643.00 |           60.80 |     23.91%
rbg323.atsp (Rozmiar x 10)     |         1480.60 |          562.00 |     11.66%
rbg323.atsp (Rozmiar x 100)    |         1393.10 |         5608.50 |      5.06%
rbg403.atsp (Rozmiar x 1)      |         2610.90 |           79.60 |      5.92%
rbg403.atsp (Rozmiar x 10)     |         2494.80 |          814.70 |      1.21%
rbg403.atsp (Rozmiar x 100)    |         2472.00 |         7983.20 |      0.28%
rbg443.atsp (Rozmiar x 1)      |         2899.60 |           95.20 |      6.60%
rbg443.atsp (Rozmiar x 10)     |         2754.70 |          938.30 |      1.28%
rbg443.atsp (Rozmiar x 100)    |         2729.00 |         9421.00 |      0.33%

--- TEST 5.0: Wpływ temperatury początkowej (10 prób na wariant, różne instancje) ---
Parametr/Instancja             |    Średni Koszt |   Śr. Czas [ms] |   Błąd PRD
-------------------------------------------------------------------------------
br17.atsp (100)                |           39.00 |           59.20 |      0.00%
br17.atsp (1000)               |           39.00 |           71.40 |      0.00%
br17.atsp (10000)              |           39.00 |           82.50 |      0.00%
br17.atsp (Auto(Calc))         |           39.00 |           76.50 |      0.00%
ftv33.atsp (100)               |         1301.60 |          117.10 |      1.21%
ftv33.atsp (1000)              |         1324.00 |          141.60 |      2.95%
ftv33.atsp (10000)             |         1321.50 |          166.50 |      2.76%
ftv33.atsp (Auto(Calc))        |         1331.00 |          165.80 |      3.50%
p43.atsp (100)                 |         5625.10 |          161.60 |      0.09%
p43.atsp (1000)                |         5623.30 |          197.60 |      0.06%
p43.atsp (10000)               |         5624.20 |          228.40 |      0.07%
p43.atsp (Auto(Calc))          |         5624.50 |          247.80 |      0.08%
ft53.atsp (100)                |         7092.30 |          190.70 |      2.71%
ft53.atsp (1000)               |         7098.40 |          234.10 |      2.80%
ft53.atsp (10000)              |         7117.90 |          275.90 |      3.08%
ft53.atsp (Auto(Calc))         |         7064.10 |          296.40 |      2.30%
ft70.atsp (100)                |        39502.40 |          263.80 |      2.14%
ft70.atsp (1000)               |        39552.30 |          324.20 |      2.27%
ft70.atsp (10000)              |        39687.40 |          383.70 |      2.62%
ft70.atsp (Auto(Calc))         |        39556.60 |          415.40 |      2.28%
kro124p.atsp (100)             |        38150.60 |          395.00 |      5.30%
kro124p.atsp (1000)            |        37882.30 |          482.70 |      4.56%
kro124p.atsp (10000)           |        38183.10 |          569.70 |      5.39%
kro124p.atsp (Auto(Calc))      |        37250.10 |          680.20 |      2.82%
ftv170.atsp (100)              |         3161.90 |          858.90 |     14.77%
ftv170.atsp (1000)             |         3094.10 |         1042.20 |     12.31%
ftv170.atsp (10000)            |         3151.10 |         1220.20 |     14.38%
ftv170.atsp (Auto(Calc))       |         3233.00 |         1265.10 |     17.35%
rbg323.atsp (100)              |         1423.70 |         2166.50 |      7.37%
rbg323.atsp (1000)             |         1414.70 |         2638.70 |      6.69%
rbg323.atsp (10000)            |         1419.60 |         3163.90 |      7.06%
rbg323.atsp (Auto(Calc))       |         1416.00 |         2798.10 |      6.79%
rbg403.atsp (100)              |         2477.00 |         3099.90 |      0.49%
rbg403.atsp (1000)             |         2475.40 |         3782.40 |      0.42%
rbg403.atsp (10000)            |         2476.10 |         4412.70 |      0.45%
rbg403.atsp (Auto(Calc))       |         2475.20 |         3978.90 |      0.41%
rbg443.atsp (100)              |         2735.40 |         3696.40 |      0.57%
rbg443.atsp (1000)             |         2731.90 |         4432.70 |      0.44%
rbg443.atsp (10000)            |         2742.10 |         5258.60 |      0.81%
rbg443.atsp (Auto(Calc))       |         2736.40 |         4721.80 |      0.60%
